"ov","var","x","coef","se","lwr","upr","n","df","p","star"
"acled_event_type1_mean3","(Intercept)","(Intercept)",4.04,0.79,2.49,5.6,35481,35476,0,"*"
"acled_event_type1_mean3","lose","lose",0.71,0.22,0.28,1.15,35481,35476,0,"*"
"acled_event_type1_mean3","acled_event_type1_l1","acled_event_type1_l1",0.16,0.01,0.13,0.19,35481,35476,0,"*"
"acled_event_type1_mean3","acled_event_type1_l2","acled_event_type1_l2",0.18,0.02,0.15,0.21,35481,35476,0,"*"
"acled_event_type1_mean3","acled_event_type1_l3","acled_event_type1_l3",0.23,0.04,0.14,0.31,35481,35476,0,"*"
"acled_event_type1_mean3","(Intercept)","(Intercept)",3.97,0.72,2.56,5.39,34033,34028,0,"*"
"acled_event_type1_mean3","win","win",0.37,0.3,-0.21,0.95,34033,34028,0.21,""
"acled_event_type1_mean3","acled_event_type1_l1","acled_event_type1_l1",0.15,0.02,0.11,0.19,34033,34028,0,"*"
"acled_event_type1_mean3","acled_event_type1_l2","acled_event_type1_l2",0.18,0.02,0.15,0.22,34033,34028,0,"*"
"acled_event_type1_mean3","acled_event_type1_l3","acled_event_type1_l3",0.23,0.04,0.15,0.31,34033,34028,0,"*"
