"var","mean","sd","min","max","n"
"lose",0.42,0.49,0,1,43984
"even",0.58,0.49,0,1,43984
"win",0,0,0,0,43984
"p_score",55.84,11.54,9.24,93.71,43984
"acled_event_type1_dif3",0.6,20.68,-100,100,43984
"acled_event_type2_dif3",0.67,17.9,-100,100,43984
"acled_event_type3_dif3",0.44,20.21,-100,100,43984
"scad_protest_dif3",-0.18,9.53,-100,100,39388
"scad_protest_cgov_dif3",-0.06,8.07,-100,100,39388
"scad_protest_rgov_dif3",-0.06,3.02,-66.67,66.67,39388
"scad_protest_ngov_dif3",-0.06,4.65,-66.67,66.67,39388
"scad_protest_nonethnic_dif3",-0.09,8.81,-100,100,39388
"scad_protest_ethnic_dif3",-0.08,3.77,-66.67,66.67,39388
"scad_protest_small_dif3",-0.12,6.52,-66.67,66.67,39388
"scad_protest_large_dif3",-0.03,7.16,-100,66.67,39388
"rank_dif_p",5.08,41.66,-100,100,42686
"season_appearance",18.4,11.07,0,38,43984
