"ov","var","x","coef","se","lwr","upr","n","df","p","star"
"Demonstration","lose","lose",0.63,0.25,0.13,1.12,35465,35463,0.01,"*"
"Riot","lose","lose",-0.3,0.19,-0.67,0.06,35465,35463,0.1,"."
"Battle","lose","lose",-0.17,0.24,-0.63,0.3,35465,35463,0.48,""
"Demonstration","win","win",0.6,0.28,0.05,1.15,34042,34040,0.03,"*"
"Riot","win","win",-0.35,0.22,-0.78,0.08,34042,34040,0.11,""
"Battle","win","win",0.01,0.35,-0.69,0.7,34042,34040,0.98,""
"Demonstration","even","even",-0.47,0.18,-0.82,-0.11,50836,50834,0.01,"*"
"Riot","even","even",0.29,0.21,-0.13,0.71,50836,50834,0.18,""
"Battle","even","even",0.36,0.23,-0.09,0.81,50836,50834,0.12,""
